SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0375, 15, -0.75147444, -0.65717691, -0.01284219, -9.04676056, 7.36433125, 11.35918617, -29.08506203, 11.31248188, -68.13796997, 89.13058472, -49.52816391, -85.84439087, -0.67391062, 0.26336744, -0.65246689, -0.22531983, -0.00925046, 0.00817722, 0.00299306, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, -0.75572336, -0.65898824, -0.01652714, -8.03076553, 6.26153660, 11.62067318, -29.08506203, 11.31248188, -68.13796997, 89.09163666, -49.55696487, -85.81958008, -0.67410296, 0.26311475, -0.65240216, -0.22522731, -0.00532770, 0.01037783, 0.00624293, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, -0.76130313, -0.66021031, -0.01885618, -6.87028027, 5.02600431, 11.60012627, -29.08506203, 11.31248188, -68.13796997, 89.05917358, -49.58576202, -85.79948425, -0.67427087, 0.26287329, -0.65236104, -0.22512561, -0.00007391, 0.01198835, 0.00821076, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, -0.76651073, -0.66134435, -0.01861848, -5.85392141, 3.85616875, 11.72082043, -29.08506203, 11.31248188, -68.13796997, 89.03264618, -49.61489868, -85.78386688, -0.67441684, 0.26263931, -0.65234274, -0.22501436, 0.00480413, 0.01351464, 0.00767942, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0475, 19, -0.76967359, -0.65889037, -0.01930762, -4.98269224, 2.82566261, 11.70399857, -29.08506203, 11.31248188, -68.13796997, 89.01129150, -49.64403915, -85.77219391, -0.67454308, 0.26241329, -0.65234381, -0.22489688, 0.00763756, 0.01145214, 0.00813386, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 20, -0.77500415, -0.65941209, -0.01893810, -4.32663822, 1.72500360, 11.61699009, -28.64659500, 11.34171295, -68.63490295, 88.98867035, -49.67227936, -85.75985718, -0.67467159, 0.26218864, -0.65233868, -0.22478789, 0.01264906, 0.01235396, 0.00751537, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0525, 21, -0.77658385, -0.65916145, -0.01978640, -3.96084285, 0.90300274, 11.25494671, -28.64659500, 11.34171295, -68.63490295, 88.97551727, -49.70036316, -85.75559235, -0.67476231, 0.26197460, -0.65237033, -0.22467344, 0.01391160, 0.01247978, 0.00822182, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 22, -0.77915037, -0.65763408, -0.02427907, -3.81263494, 0.28889737, 10.75655556, -28.64659500, 11.34171295, -68.63490295, 88.96455383, -49.72723770, -85.75371552, -0.67484099, 0.26176682, -0.65240884, -0.22456770, 0.01617486, 0.01131237, 0.01259722, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0575, 23, -0.78438497, -0.65611398, -0.02913298, -3.66684079, -0.04715938, 10.19200039, -28.64659500, 11.34171295, -68.63490295, 88.95498657, -49.75272369, -85.75318146, -0.67491114, 0.26156750, -0.65244973, -0.22447008, 0.02112198, 0.01013351, 0.01734932, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 24, -0.78501117, -0.65676224, -0.03561808, -3.73859072, -0.23906572, 9.14053154, -28.64659500, 11.34171295, -68.63490295, 88.94584656, -49.77557373, -85.75345612, -0.67497385, 0.26138118, -0.65248710, -0.22439007, 0.02149058, 0.01108813, 0.02373704, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0625, 25, -0.78501117, -0.65676224, -0.03561808, -3.73859072, -0.23906572, 9.14053154, -29.46506882, 12.10172462, -68.13796997, 88.93670654, -49.79843521, -85.75373077, -0.67503649, 0.26119483, -0.65252441, -0.22431003, 0.02123297, 0.01139468, 0.02363967, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 26, -0.78140044, -0.66100156, -0.04754353, -3.88190246, -0.43493912, 8.29906368, -29.46506882, 12.10172462, -68.13796997, 88.92783356, -49.81919479, -85.75480652, -0.67509300, 0.26101741, -0.65255910, -0.22424555, 0.01738841, 0.01591260, 0.03547041, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0675, 27, -0.78140044, -0.66100156, -0.04754353, -3.88190246, -0.43493912, 8.29906368, -29.46506882, 12.10172462, -68.13796997, 88.91896057, -49.83995819, -85.75588989, -0.67514950, 0.26084000, -0.65259373, -0.22418106, 0.01715463, 0.01619130, 0.03537563, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 28, -0.78237718, -0.65879720, -0.04726339, -2.44800615, -0.06653403, 7.73985147, -29.46506882, 12.10172462, -68.13796997, 88.91259003, -49.85930252, -85.75557709, -0.67520034, 0.26069340, -0.65262675, -0.22410229, 0.01791370, 0.01424641, 0.03502877, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0725, 29, -0.78178149, -0.65426922, -0.04560672, -1.73249972, 0.29076239, 7.46259737, -29.46506882, 12.10172462, -68.13796997, 88.90698242, -49.87794876, -85.75389862, -0.67525077, 0.26056308, -0.65265644, -0.22401537, 0.01710827, 0.00996828, 0.03331378, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 30, -0.78118324, -0.65205407, -0.04557404, -1.37650764, 0.64580005, 7.11654711, -29.40660667, 11.28325081, -68.34259033, 88.90122986, -49.89570999, -85.75086975, -0.67530257, 0.26044464, -0.65268064, -0.22392645, 0.01631027, 0.00799131, 0.03322082, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0775, 31, -0.77985764, -0.64959317, -0.04529468, -1.08966458, 0.71882212, 7.04665995, -29.40660667, 11.28325081, -68.34259033, 88.89595795, -49.91328049, -85.74755096, -0.67535347, 0.26033175, -0.65270478, -0.22383407, 0.01478714, 0.00576615, 0.03288682, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 32, -0.77633172, -0.64925671, -0.04187522, -1.16432273, 1.06323981, 7.12151432, -29.40660667, 11.28325081, -68.34259033, 88.88948822, -49.93103790, -85.74288940, -0.67540997, 0.26021835, -0.65272391, -0.22373968, 0.01106167, 0.00566810, 0.02939923, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0825, 33, -0.77645653, -0.64572930, -0.03925482, -1.16363966, 0.99290365, 7.19049835, -29.40660667, 11.28325081, -68.34259033, 88.88320923, -49.94895935, -85.73849487, -0.67546576, 0.26010364, -0.65274435, -0.22364463, 0.01098520, 0.00238156, 0.02671299, 0.00000000, 0.00000000, 0.00000000, 0.00000000
