SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0375, 15, 0.59085441, 0.81705767, -0.11668589, 8.92023754, 1.63485062, 2.94907403, 54.69160843, 38.26366425, -59.51476288, -81.84007263, 36.48940659, 148.16191101, -0.00036875, 0.39811829, 0.53333431, -0.74636203, 0.00381959, -0.02123046, 0.00257313, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, 0.58818936, 0.82418579, -0.10875068, 7.55668688, 1.34624124, 2.87967730, 54.69160843, 38.26366425, -59.51476288, -81.82288361, 36.49701309, 148.15904236, -0.00033434, 0.39817372, 0.53318626, -0.74643821, 0.00659132, -0.02847087, -0.00558953, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, 0.58493209, 0.82144219, -0.10707524, 6.12003946, 1.13278913, 2.39189816, 54.69160843, 38.26366425, -59.51476288, -81.80903625, 36.50333023, 148.15660095, -0.00030695, 0.39822003, 0.53306586, -0.74649954, 0.00993723, -0.02581991, -0.00744802, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, 0.58714902, 0.81295073, -0.10574341, 5.04075003, 1.13370240, 1.69603705, 53.84390640, 37.35749817, -59.51476288, -81.79806519, 36.50793076, 148.15386963, -0.00027759, 0.39825827, 0.53296906, -0.74654830, 0.00778485, -0.01739771, -0.00892538, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0475, 19, 0.58741701, 0.80521542, -0.10635116, 4.31862402, 1.47756970, 1.42330003, 53.84390640, 37.35749817, -59.51476288, -81.78960419, 36.51198196, 148.14994812, -0.00024607, 0.39829889, 0.53288639, -0.74658567, 0.00757367, -0.00972092, -0.00842913, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 20, 0.58584565, 0.80155557, -0.10884792, 3.59256864, 2.30500126, 1.22707295, 53.84390640, 37.35749817, -59.51476288, -81.78451538, 36.51584244, 148.14341736, -0.00020804, 0.39835075, 0.53281718, -0.74660742, 0.00919920, -0.00611091, -0.00599726, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0525, 21, 0.58618963, 0.80187953, -0.11422036, 3.15818262, 2.64935780, 1.09328210, 53.84390640, 37.35749817, -59.51476288, -81.78117371, 36.51948547, 148.13574219, -0.00016761, 0.39840654, 0.53275621, -0.74662107, 0.00890636, -0.00647908, -0.00066575, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 22, 0.58519071, 0.80562830, -0.11880443, 2.58061028, 2.92313313, 0.95900220, 53.84390640, 37.35749817, -59.51476288, -81.77983093, 36.52290726, 148.12716675, -0.00012682, 0.39846531, 0.53270584, -0.74662566, 0.00995326, -0.01026571, 0.00390466, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0575, 23, 0.58322859, 0.80510545, -0.12589587, 1.93141282, 3.13029552, 0.61423272, 54.45775986, 37.82519531, -59.31014252, -81.78057098, 36.52554703, 148.11779785, -0.00008366, 0.39852345, 0.53266907, -0.74662089, 0.01195240, -0.00976843, 0.01101036, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 24, 0.58202392, 0.79998094, -0.12902679, 1.50027370, 3.06142330, 0.33494774, 54.45775986, 37.82519531, -59.31014252, -81.78234100, 36.52746964, 148.10852051, -0.00004050, 0.39857721, 0.53264171, -0.74661171, 0.01318407, -0.00466019, 0.01416869, 0.00000000, 0.00000000, 0.00000000, 0.00000000
