SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.88318843, -0.33072376, -0.32699886, -1.65836024, -1.69023156, -0.77919006, -26.54194641, 23.44343758, -71.44110107, 44.34994125, -63.61846542, -37.20879745, 0.80929881, -0.14826560, 0.56492895, 0.06251519, -0.01266641, 0.02010817, 0.00925359, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, -0.88100392, -0.33108753, -0.32664233, -1.22995389, -1.34001505, -0.77584141, -26.77579689, 23.15112495, -71.49955750, 44.35438919, -63.61949158, -37.21719360, 0.80928522, -0.14825162, 0.56494844, 0.06254838, -0.01485902, 0.02045867, 0.00893280, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, -0.88124681, -0.33145043, -0.32713616, -0.58348972, -1.26583290, -0.70700854, -26.77579689, 23.15112495, -71.49955750, 44.35994339, -63.62052917, -37.22502136, 0.80927044, -0.14824830, 0.56496769, 0.06257214, -0.01462406, 0.02080199, 0.00946826, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, -0.88221395, -0.33110189, -0.32602906, -0.15576673, -0.84528041, -0.77264386, -26.77579689, 23.15112495, -71.49955750, 44.36531448, -63.62070084, -37.23145676, 0.80925953, -0.14825393, 0.56497991, 0.06259044, -0.01365823, 0.02042538, 0.00839204, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, -0.88258630, -0.32961473, -0.32698312, 0.34531096, -0.56582695, -0.63061219, -26.77579689, 23.15112495, -71.49955750, 44.37044144, -63.62059021, -37.23621368, 0.80925059, -0.14826703, 0.56498832, 0.06259915, -0.01328504, 0.01890880, 0.00937289, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, -0.88160270, -0.33172575, -0.32518449, 0.63053060, -0.28619090, -0.62775260, -26.77579689, 23.15112495, -71.49955750, 44.37528229, -63.62001038, -37.23985672, 0.80924422, -0.14828551, 0.56499219, 0.06260339, -0.01426411, 0.02098653, 0.00759393, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, -0.88136512, -0.33061495, -0.32541236, 0.84386879, -0.00722627, -0.62466717, -27.36042023, 22.71265602, -71.82110596, 44.37965775, -63.61891556, -37.24238586, 0.80924058, -0.14830810, 0.56499141, 0.06260404, -0.01449341, 0.01983964, 0.00783342, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, -0.88283259, -0.32754031, -0.32597327, 1.12861848, 0.34054881, -0.55094182, -27.36042023, 22.71265602, -71.82110596, 44.38326263, -63.61735916, -37.24326706, 0.80924034, -0.14833528, 0.56498516, 0.06259875, -0.01301366, 0.01672784, 0.00839636, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, -0.88392526, -0.32778078, -0.32670790, 1.34185016, 0.62061191, -0.61778134, -27.36042023, 22.71265602, -71.82110596, 44.38666153, -63.61516571, -37.24331284, 0.80924278, -0.14836743, 0.56497407, 0.06259111, -0.01190400, 0.01692555, 0.00912497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, -0.88345414, -0.32675356, -0.32962587, 1.48283648, 0.96704423, -0.54360431, -27.36042023, 22.71265602, -71.82110596, 44.40065002, -63.57165909, -37.24126434, 0.80936235, -0.14864334, 0.56471997, 0.06268240, -0.01203740, 0.01534489, 0.01163286, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, -0.88297915, -0.32525727, -0.33094811, 1.48236644, 1.03518307, -0.47273883, -27.36042023, 22.71265602, -71.82110596, 44.40242004, -63.56899643, -37.23910141, 0.80936962, -0.14867677, 0.56470221, 0.06266913, -0.01249159, 0.01380954, 0.01293490, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, -0.88225710, -0.32365778, -0.33080292, 1.48326266, 0.96265018, -0.26390505, -27.59427071, 23.56036186, -71.85033417, 44.40368271, -63.56678772, -37.23637390, 0.80937642, -0.14870754, 0.56468642, 0.06265240, -0.01319677, 0.01217917, 0.01277220, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, -0.88153845, -0.32228675, -0.33188319, 1.34133613, 0.75249594, -0.19635075, -27.59427071, 23.56036186, -71.85033417, 44.40509415, -63.56512451, -37.23420334, 0.80938095, -0.14873464, 0.56467426, 0.06263690, -0.01390219, 0.01078189, 0.01384125, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, -0.88469446, -0.31973943, -0.33049354, 1.12763429, 0.54057187, -0.05864573, -27.59427071, 23.56036186, -71.85033417, 44.40621567, -63.56405640, -37.23231125, 0.80938393, -0.14875601, 0.56466609, 0.06262229, -0.01073802, 0.00821662, 0.01244578, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, -0.88919163, -0.31595534, -0.33005980, 0.76959264, 0.39654246, 0.08045169, -27.59427071, 23.56036186, -71.85033417, 44.40645599, -63.56346893, -37.23043060, 0.80938643, -0.14876914, 0.56466043, 0.06261010, -0.00623632, 0.00442502, 0.01200703, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, -0.89065742, -0.31349349, -0.33075231, 0.48400933, 0.18394691, 0.21838252, -27.59427071, 23.56036186, -71.85033417, 44.40623093, -63.56353760, -37.22882843, 0.80938745, -0.14877525, 0.56465852, 0.06259968, -0.00477105, 0.00196496, 0.01269889, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, -0.89248872, -0.31005701, -0.33094034, 0.19774276, 0.04168744, 0.28732923, -28.00350761, 23.79421234, -72.11341858, 44.40554047, -63.56395340, -37.22751236, 0.80938774, -0.14877525, 0.56465900, 0.06259204, -0.00294298, -0.00146300, 0.01288796, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, -0.89406115, -0.30910885, -0.32896742, -0.01570192, -0.23617864, 0.21431896, -28.00350761, 23.79421234, -72.11341858, 44.40556717, -63.56475449, -37.22757721, 0.80938518, -0.14877200, 0.56466389, 0.06258921, -0.00137687, -0.00240254, 0.01092419, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, -0.89492524, -0.30626327, -0.33051068, -0.23019338, -0.37666813, 0.21311501, -28.00350761, 23.79421234, -72.11341858, 44.40555191, -63.56580734, -37.22820663, 0.80938148, -0.14876477, 0.56467086, 0.06258950, -0.00052083, -0.00523657, 0.01247898, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0475, 19, -0.89456248, -0.30565226, -0.33013549, -0.44421470, -0.58529663, 0.14104545, -28.00350761, 23.79421234, -72.11341858, 44.40599823, -63.56711197, -37.22994614, 0.80937588, -0.14875439, 0.56468105, 0.06259438, -0.00089353, -0.00583592, 0.01212067, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 20, -0.89480370, -0.30396217, -0.32803175, -0.80016273, -1.00407934, 0.13653019, -28.00350761, 23.79421234, -72.11341858, 44.40703964, -63.56912613, -37.23334122, 0.80936641, -0.14873722, 0.56469822, 0.06260510, -0.00066829, -0.00750959, 0.01004535, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0525, 21, -0.89504963, -0.30140477, -0.32640356, -1.01187742, -1.48965800, 0.06069764, -27.56503868, 22.59573174, -72.43495941, 44.40954208, -63.57189941, -37.23896027, 0.80935138, -0.14871657, 0.56472337, 0.06262133, -0.00044376, -0.01005054, 0.00846166, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 22, -0.89661914, -0.30034763, -0.32345140, -1.22348547, -1.97633541, 0.05478994, -27.56503868, 22.59573174, -72.43495941, 44.41323853, -63.57552338, -37.24651337, 0.80933106, -0.14869159, 0.56475675, 0.06264184, 0.00109756, -0.01108861, 0.00557000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
