SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.03149847, -0.93066412, -0.35222471, 1.15556252, -0.27797925, 0.57109880, -3.39082146, -22.36188316, -76.46886444, 69.34695435, -1.79484773, -65.20278931, 0.69754434, -0.47226381, 0.31733131, 0.43554518, 0.00017760, -0.00461000, -0.00031072, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, -0.03283141, -0.93115687, -0.35259610, 1.15613914, -0.34721676, 0.57015806, -3.39082146, -22.36188316, -76.46886444, 69.34986115, -1.79648960, -65.20310211, 0.69753546, -0.47227415, 0.31735346, 0.43553206, 0.00148190, -0.00413430, 0.00010830, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, -0.03633979, -0.93265510, -0.35212308, 1.30267930, -0.69096309, 0.49507779, -2.16311026, -21.63110161, -75.76731873, 69.35314941, -1.79825771, -65.20426941, 0.69752198, -0.47228399, 0.31738144, 0.43552262, 0.00495943, -0.00265539, -0.00031063, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, -0.03922834, -0.93553901, -0.34910637, 1.23090398, -0.69273311, 0.56522846, -2.16311026, -21.63110161, -75.76731873, 69.35625458, -1.80018830, -65.20539093, 0.69750988, -0.47229224, 0.31740949, 0.43551263, 0.00781431, 0.00021029, -0.00327617, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, -0.04189635, -0.93639445, -0.35033599, 1.23022091, -0.62239707, 0.49624437, -2.16311026, -21.63110161, -75.76731873, 69.35937500, -1.80189669, -65.20642090, 0.69749761, -0.47230163, 0.31743574, 0.43550298, 0.01045252, 0.00104749, -0.00199547, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, -0.04443240, -0.93862563, -0.34987617, 1.37571418, -0.82876682, 0.49297044, -2.16311026, -21.63110161, -75.76731873, 69.36285400, -1.80378270, -65.20792389, 0.69748241, -0.47231126, 0.31746653, 0.43549448, 0.01295567, 0.00325817, -0.00239807, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, -0.04625321, -0.93874484, -0.35072964, 1.37366450, -0.61775857, 0.28601813, -2.16311026, -21.63110161, -75.76731873, 69.36631775, -1.80499721, -65.20910645, 0.69746673, -0.47232431, 0.31749192, 0.43548697, 0.01475529, 0.00335676, -0.00148770, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, -0.04782775, -0.93875736, -0.35036004, 1.29983997, -0.40852034, 0.14921656, -2.74773455, -21.42648315, -76.43963623, 69.36959839, -1.80570436, -65.20993805, 0.69745195, -0.47233918, 0.31751201, 0.43547991, 0.01631749, 0.00334948, -0.00180376, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, -0.04709571, -0.93950015, -0.34976190, 1.22706187, -0.33665866, -0.05939138, -2.74773455, -21.42648315, -76.43963623, 69.38392639, -1.85371971, -65.21241760, 0.69750726, -0.47223067, 0.31786481, 0.43525144, 0.01474785, 0.00402927, -0.00215846, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, -0.04430642, -0.93985587, -0.34977305, 1.01099098, -0.33427894, -0.33841324, -2.74773455, -21.42648315, -76.43963623, 69.38648987, -1.85322261, -65.21350098, 0.69749129, -0.47224522, 0.31787601, 0.43525302, 0.01196728, 0.00436908, -0.00210550, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, -0.04357874, -0.93900597, -0.34878394, 0.86575484, -0.19385119, -0.54585457, -2.74773455, -21.42648315, -76.43963623, 69.38868713, -1.85211360, -65.21443939, 0.69747585, -0.47226039, 0.31788158, 0.43525738, 0.01125890, 0.00350499, -0.00305903, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, -0.04164107, -0.93693012, -0.34716758, 0.86658847, -0.32903072, -0.75751060, -2.74773455, -21.42648315, -76.43963623, 69.39089203, -1.85063076, -65.21588135, 0.69745743, -0.47227567, 0.31788701, 0.43526629, 0.00934710, 0.00141484, -0.00463960, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, -0.03727859, -0.93617749, -0.34679842, 0.64737707, 0.08547876, -0.82111341, -2.33849740, -21.60187149, -76.49810028, 69.39253235, -1.84863043, -65.21640015, 0.69744354, -0.47229204, 0.31788337, 0.43527341, 0.00501951, 0.00065112, -0.00498241, 0.00000000, 0.00000000, 0.00000000, 0.00000000
