SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.27156681, -0.95083213, -0.19270889, 4.88971043, -0.66795850, 2.41692042, 11.37094402, -30.57585526, -72.93189240, 77.87081146, 15.49126530, -16.74509239, 0.75021064, -0.63133818, -0.01304626, 0.19602530, -0.00447541, 0.00867367, -0.00977497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.27203229, -0.94784355, -0.19523026, 5.17870998, -0.80704337, 2.62390971, 11.37094402, -30.57585526, -72.93189240, 77.88359833, 15.48443031, -16.74571037, 0.75015074, -0.63142025, -0.01297477, 0.19599494, -0.00505587, 0.00560880, -0.00705002, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.27529779, -0.94586003, -0.19532877, 5.25069761, -0.80747050, 2.69360900, 11.37094402, -30.57585526, -72.93189240, 77.89657593, 15.47742367, -16.74629211, 0.75009012, -0.63150352, -0.01290199, 0.19596347, -0.00843921, 0.00354755, -0.00674492, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.27686790, -0.94255841, -0.19357069, 5.03469038, -0.74244428, 2.83507681, 11.37094402, -30.57585526, -72.93189240, 77.90906525, 15.47010422, -16.74663353, 0.75003308, -0.63158351, -0.01282926, 0.19592872, -0.01013246, 0.00016856, -0.00830470, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.27588513, -0.93875450, -0.19338824, 4.52942514, -0.47239128, 2.98027039, 11.37094402, -30.57585526, -72.93189240, 77.92050171, 15.46257019, -16.74621391, 0.74998355, -0.63165641, -0.01276110, 0.19588773, -0.00927642, -0.00370973, -0.00830645, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.27733016, -0.93543780, -0.19272943, 3.88018417, -0.20148413, 2.98606586, 11.57556248, -29.69891739, -72.69804382, 77.93049622, 15.45516396, -16.74510384, 0.74994290, -0.63171989, -0.01270007, 0.19584273, -0.01084602, -0.00709546, -0.00880797, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.27866700, -0.93580908, -0.19212686, 3.16032124, -0.07082208, 3.06013083, 11.57556248, -29.69891739, -72.69804382, 77.93878937, 15.44764805, -16.74362564, 0.74991244, -0.63177216, -0.01264324, 0.19579454, -0.01230932, -0.00678748, -0.00928138, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.27781031, -0.93493176, -0.19357805, 2.29658866, 0.05959558, 3.06472230, 11.57556248, -29.69891739, -72.69804382, 77.94500732, 15.44018555, -16.74181747, 0.74989390, -0.63181078, -0.01259216, 0.19574420, -0.01157814, -0.00772071, -0.00773521, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.27732468, -0.93638462, -0.19531006, 1.64824402, 0.25796959, 3.27935195, 11.57556248, -29.69891739, -72.69804382, 77.94976807, 15.43230247, -16.73938560, 0.74988514, -0.63183969, -0.01254414, 0.19568744, -0.01122517, -0.00632030, -0.00593251, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.27805668, -0.93664265, -0.19421573, 1.07203770, 0.39107308, 3.28304029, 11.57556248, -29.69891739, -72.69804382, 77.95318604, 15.42447948, -16.73661804, 0.74988425, -0.63185978, -0.01250071, 0.19562863, -0.01208875, -0.00610984, -0.00697820, 0.00000000, 0.00000000, 0.00000000, 0.00000000
